police_station,folder,hobli_count,village_count,ward_count
Amasebailu PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Amasebailu_PS,5,21,0
Kundapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kundapura_PS,2,23,23
Kundapura Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kundapura_Rural_PS,3,35,0
Shankaranarayana PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shankaranarayana_PS,6,39,0
Brahmavar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Brahmavar_PS,3,46,6
Hiriadka PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hiriadka_PS,4,27,1
Kota PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kota_PS,3,51,16
Manipal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Manipal_PS,1,16,13
Malpe PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Malpe_PS,5,15,13
Bhatkal Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bhatkal_Rural_PS,3,61,23
Bhatkal Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bhatkal_Town_PS,1,17,36
Murudeshwar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Murudeshwar_PS,3,22,1
Honnavara PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Honnavara_PS,6,99,21
Manki PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Manki_PS,3,49,0
Gokarna PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gokarna_PS,5,42,0
Kumta PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kumta_PS,8,131,23
Dandeli Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Dandeli_Rural_PS,4,46,3
Dandeli Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Dandeli_Town_PS,1,7,31
Ambikanagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ambikanagar_PS,6,32,0
Haliyal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Haliyal_PS,6,135,23
Joida PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Joida_PS,2,81,0
Ramnagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ramnagar_PS,5,89,0
Ankola PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ankola_PS,11,119,23
Chittakula PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chittakula_PS,7,33,1
Kadra PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kadra_PS,2,21,0
Mallapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Mallapura_PS,5,37,0
Karwar Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Karwar_Rural_PS,5,25,4
Karwar Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Karwar_Town_PS,2,11,31
Mundgod PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Mundgod_PS,7,140,19
Siddapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Siddapura_PS_2,6,242,15
Banavasi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Banavasi_PS,5,114,0
Sirsi Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sirsi_Rural_PS,8,194,17
Sirsi Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sirsi_Town_PS,1,6,31
Doddapete PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Doddapete_PS,2,5,16
Tunganagara PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Tunganagara_PS,7,87,13
Kote PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kote_PS,3,6,13
Jayanagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Jayanagar_PS,2,5,10
Shimogga Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shimogga_Rural_PS,14,98,11
Vibanagara PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Vibanagara_PS,3,22,10
Paper Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Paper_Town_PS,4,15,11
Jannapura New Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Jannapura_New_Town_PS,3,16,18
Old Town Bhadravathi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Old_Town_Bhadravathi_PS,1,11,16
Hosamane PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hosamane_PS,2,11,14
Holehonnur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Holehonnur_PS,12,112,16
Kumsi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kumsi_PS,10,123,0
Shikaripura Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shikaripura_Rural_PS,7,127,8
Shikaripura Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shikaripura_Town_PS,3,17,23
Shiralakoppa PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shiralakoppa_PS,6,113,23
Anavatti PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Anavatti_PS,5,175,20
Soraba PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Soraba_PS,6,258,28
Kargal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kargal_PS,7,94,13
Joga PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Joga_PS,1,4,6
Sagara Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sagara_Town_PS,2,20,31
Nagara PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Nagara_PS,10,88,0
Sagara Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sagara_Rural_PS,18,308,14
Agumbe PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Agumbe_PS,7,56,0
Rippanpete PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Rippanpete_PS,7,106,0
Hosanagara PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hosanagara_PS,8,131,11
Thirthahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Thirthahalli_PS,8,184,15
Bannerghatta PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bannerghatta_PS,8,44,3
Sarjapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sarjapura_PS,2,57,0
Hosakote PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hosakote_PS,3,110,31
Anugondanahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Anugondanahalli_PS,4,57,1
Nandagudi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Nandagudi_PS,4,103,0
Sulibele PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sulibele_PS,2,115,0
Vijayapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Vijayapura_PS,3,99,24
Doddabelavangala PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Doddabelavangala_PS,7,198,0
Nelamangala Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Nelamangala_Town_PS,1,17,16
Nelamangala Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Nelamangala_Rural_PS,5,128,24
Panambur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Panambur_PS,5,15,12
Kavoor PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kavoor_PS,6,20,18
Bajpe PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bajpe_PS,6,47,25
Surathkal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Surathkal_PS,1,25,16
Mulki PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Mulki_PS,4,41,33
Moodabidre PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Moodabidre_PS,5,51,23
Mangaluru North PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Mangaluru_North_PS,2,5,12
Barke PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Barke_PS,1,3,12
Mangaluru East PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Mangaluru_East_PS,3,9,10
Urva PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Urva_PS,3,6,11
Mangaluru South PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Mangaluru_South_PS,5,7,17
Mangaluru Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Mangaluru_Rural_PS,4,24,13
Kankanady Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kankanady_Town_PS,5,15,17
Konaje PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Konaje_PS,6,24,4
Ullal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ullal_PS,3,12,72
Lakshmeshwar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Lakshmeshwar_PS,5,76,23
Bagalkot Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bagalkot_Town_PS,1,5,22
Imangala PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Imangala_PS,2,56,0
Molakalmuru PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Molakalmuru_PS,2,56,16
Chitradurga Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chitradurga_Town_PS,1,4,23
Abbinahole PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Abbinahole_PS,4,69,0
Ankalgi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ankalgi_PS,1,24,0
Athani PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Athani_PS,2,55,27
Basava Kalyana Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Basava_Kalyana_Rural_PS,6,55,28
Srimangala PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Srimangala_PS,4,33,0
Bevoor PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bevoor_PS,5,82,0
Arehalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Arehalli_PS,8,251,0
HebburuPS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\HebburuPS,6,118,0
Attibele PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Attibele_PS,2,32,23
Hosahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hosahalli_PS_2,4,52,0
Dobbespet PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Dobbespet_PS,7,118,0
Thyamagondlu PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Thyamagondlu_PS,6,120,0
Malur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Malur_PS,7,189,27
Bhadravathi Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bhadravathi_Rural_PS,18,134,17
MaluruPS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\MaluruPS,7,104,0
Kolala PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kolala_PS,3,124,0
Arsikere PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Arsikere_PS,2,43,0
C S Pura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\C_S_Pura_PS,2,61,0
Jayanagara PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Jayanagara_PS,4,26,13
Kora PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kora_PS,4,118,0
Nayakanahatti PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Nayakanahatti_PS,3,58,16
Ballari APMC Yard PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ballari_APMC_Yard_PS,1,7,7
Hampi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hampi_PS,4,19,4
Hospete extension PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hospete_extension_PS,1,2,21
TB Dam Ballari PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\TB_Dam_Ballari_PS,3,9,2
Doddaballapura Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Doddaballapura_Town_PS,2,110,50
Chinthamani Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chinthamani_Rural_PS,1,10,31
Kamalapur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kamalapur_PS_2,1,37,12
ChannarayapatnaPS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\ChannarayapatnaPS,2,79,0
YagathiPS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\YagathiPS,4,96,0
Kadaba PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kadaba_PS,7,40,13
Puttur Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Puttur_Town_PS,3,25,30
Subramanya PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Subramanya_PS,9,33,2
Doddaballapura Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Doddaballapura_Rural_PS,6,106,0
YellapuraPS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\YellapuraPS,10,178,19
Vishwanathapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Vishwanathapura_PS,5,102,5
Anekal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Anekal_PS,4,67,27
Surya City PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Surya_City_PS,2,25,26
Thimmashettyhalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Thimmashettyhalli_PS,3,67,1
Jigani PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Jigani_PS,2,21,22
Ashoknagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ashoknagar_PS_2,1,3,12
Brahmapur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Brahmapur_PS,1,4,13
Station Bazar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Station_Bazar_PS,1,11,12
Roza PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Roza_PS,1,3,14
Kalaburagi Sub Urban PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kalaburagi_Sub_Urban_PS,5,59,17
Ferhatabad PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ferhatabad_PS,3,56,2
MB Nagar KalburgiPS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\MB_Nagar_KalburgiPS,1,4,9
Chowka PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chowka_PS,2,9,19
University PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\University_PS,2,42,10
University PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\University_PS_2,2,5,3
Ragavendra nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ragavendra_nagar_PS,1,7,17
Ragavendra nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ragavendra_nagar_PS_2,1,3,3
Avalahally PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Avalahally_PS,6,66,3
H.A.L. PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\H.A.L._PS,4,19,9
Marathahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Marathahalli_PS,4,21,6
K.R. Puram PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\K.R._Puram_PS,4,18,7
Kadugodi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kadugodi_PS,4,35,4
Whitefield PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Whitefield_PS,3,34,6
Bellanduru PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bellanduru_PS,3,30,4
Mahadevapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Mahadevapura_PS,5,12,8
Banaswadi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Banaswadi_PS,4,8,9
Kadugondana Halli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kadugondana_Halli_PS,2,6,8
Ramamurthy Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ramamurthy_Nagar_PS,4,11,8
Byappanahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Byappanahalli_PS,6,13,9
Halasur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Halasur_PS,1,7,8
Indiranagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Indiranagar_PS,4,9,7
Bharathi Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bharathi_Nagar_PS,1,1,6
Govindapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Govindapura_PS,2,5,4
Hennur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hennur_PS,4,12,5
Jeevan Bheemanagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Jeevan_Bheemanagar_PS,4,14,8
Pulakeshinagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Pulakeshinagar_PS,3,13,7
Shivajinagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shivajinagar_PS,1,2,3
Commercial Street PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Commercial_Street_PS,1,1,6
Malleshwarm PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Malleshwarm_PS,2,11,5
Srirampura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Srirampura_PS_2,2,8,5
Subramanya Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Subramanya_Nagar_PS,2,3,9
Rajgopal Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Rajgopal_Nagar_PS,2,10,9
Nandini Layout PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Nandini_Layout_PS,3,3,8
Yeshwanthapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Yeshwanthapura_PS,4,11,5
Yeshwanthpura RMC Yard PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Yeshwanthpura_RMC_Yard_PS,4,6,8
Peenya PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Peenya_PS,4,12,6
Bagalgunte PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bagalgunte_PS,3,12,5
Jalahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Jalahalli_PS,5,14,8
R.T. Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\R.T._Nagar_PS,2,8,9
Hebbal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hebbal_PS_2,3,6,6
Sanjay Nagara PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sanjay_Nagara_PS,3,11,7
Gangammagudi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gangammagudi_PS,6,20,8
Rajaji Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Rajaji_Nagar_PS,3,4,7
J.C. NagarPS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\J.C._NagarPS,3,12,6
Amruthahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Amruthahalli_PS,6,15,4
Sampigehalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sampigehalli_PS,4,17,5
Kodigehalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kodigehalli_PS,6,10,7
Yelahanka New Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Yelahanka_New_Town_PS,4,22,5
Yelahanka PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Yelahanka_PS,4,40,7
Kempegowda international Airport PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kempegowda_international_Airport_PS,4,21,0
Vidhyaranyapura  PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Vidhyaranyapura_PS,5,15,5
Cubbon Park PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Cubbon_Park_PS,1,2,3
Viveknagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Viveknagar_PS,2,15,5
Sampangiramanagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sampangiramanagar_PS,1,6,4
High Grounds PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\High_Grounds_PS,1,7,6
Sadashivanagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sadashivanagar_PS,2,21,9
Seshadripuram PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Seshadripuram_PS,1,12,5
